個案研判日,縣市,確定病例數
2021/05/18,雲林縣,1
2021/05/20,雲林縣,1
2021/05/21,雲林縣,1
2021/05/22,雲林縣,1
2021/05/23,雲林縣,2
2021/05/25,雲林縣,1
2021/05/26,雲林縣,2
2021/05/27,雲林縣,1
2021/05/29,雲林縣,1
2021/06/04,雲林縣,1
2021/06/05,雲林縣,1
2021/06/06,雲林縣,3
2021/06/11,雲林縣,2
2021/06/12,雲林縣,1
2021/06/14,雲林縣,1
2021/06/21,雲林縣,1
2021/08/21,雲林縣,1
2022/03/21,雲林縣,4
2022/03/23,雲林縣,2
2022/04/06,雲林縣,3
2022/04/07,雲林縣,3
2022/04/08,雲林縣,1
2022/04/09,雲林縣,2
2022/04/10,雲林縣,6
2022/04/11,雲林縣,2
2022/04/12,雲林縣,1
2022/04/14,雲林縣,3
2022/04/15,雲林縣,3
2022/04/16,雲林縣,7
2022/04/17,雲林縣,5
2022/04/18,雲林縣,7
2022/04/19,雲林縣,15
2022/04/20,雲林縣,39
2022/04/21,雲林縣,52
2022/04/22,雲林縣,50
2022/04/23,雲林縣,28
2022/04/24,雲林縣,27
2022/04/25,雲林縣,29
2022/04/26,雲林縣,60
2022/04/27,雲林縣,78
2022/04/28,雲林縣,89
2022/04/29,雲林縣,138
2022/04/30,雲林縣,144
2022/05/01,雲林縣,138
2022/05/02,雲林縣,239
2022/05/03,雲林縣,244
2022/05/04,雲林縣,218
2022/05/05,雲林縣,351
2022/05/06,雲林縣,358
2022/05/07,雲林縣,349
2022/05/08,雲林縣,361
2022/05/09,雲林縣,467
2022/05/10,雲林縣,563
2022/05/11,雲林縣,558
2022/05/12,雲林縣,553
2022/05/13,雲林縣,604
2022/05/14,雲林縣,630
2022/05/15,雲林縣,598
2022/05/16,雲林縣,575
2022/05/17,雲林縣,901
2022/05/18,雲林縣,1017
2022/05/19,雲林縣,975
2022/05/20,雲林縣,1142
2022/05/21,雲林縣,915
2022/05/22,雲林縣,765
2022/05/23,雲林縣,1178
2022/05/24,雲林縣,1363
2022/05/25,雲林縣,1093
2022/05/26,雲林縣,1703
2022/05/27,雲林縣,1471
2022/05/28,雲林縣,1085
2022/05/29,雲林縣,1140
2022/05/30,雲林縣,1557
2022/05/31,雲林縣,1889
2022/06/01,雲林縣,1409
2022/06/02,雲林縣,1483
2022/06/03,雲林縣,1404
2022/06/04,雲林縣,1393
2022/06/05,雲林縣,1172
2022/06/06,雲林縣,1850
2022/06/07,雲林縣,1752
2022/06/08,雲林縣,1720
2022/06/09,雲林縣,1484
2022/06/10,雲林縣,1254
2022/06/11,雲林縣,1846
2022/06/12,雲林縣,1028
2022/06/13,雲林縣,1861
2022/06/14,雲林縣,1691
2022/06/15,雲林縣,1591
2022/06/16,雲林縣,1435
2022/06/17,雲林縣,1528
2022/06/18,雲林縣,1301
2022/06/19,雲林縣,1061
2022/06/20,雲林縣,1802
2022/06/21,雲林縣,1599
2022/06/22,雲林縣,1323
2022/06/23,雲林縣,1390
2022/06/24,雲林縣,1304
2022/06/25,雲林縣,1130
2022/06/26,雲林縣,861
2022/06/27,雲林縣,1412
2022/06/28,雲林縣,1134
2022/06/29,雲林縣,1079
2022/06/30,雲林縣,970
2022/07/01,雲林縣,1039
2022/07/02,雲林縣,855
2022/07/03,雲林縣,613
2022/07/04,雲林縣,1074
2022/07/05,雲林縣,874
2022/07/06,雲林縣,811
2022/07/07,雲林縣,880
2022/07/08,雲林縣,805
2022/07/09,雲林縣,658
