個案研判日,縣市,確定病例數
2020/03/20,台北市,2
2020/03/22,台北市,1
2020/03/26,台北市,1
2020/03/31,台北市,1
2020/04/02,台北市,1
2020/04/03,台北市,1
2020/04/09,台北市,1
2021/04/29,台北市,1
2021/05/01,台北市,1
2021/05/02,台北市,1
2021/05/04,台北市,1
2021/05/08,台北市,2
2021/05/10,台北市,1
2021/05/11,台北市,1
2021/05/12,台北市,2
2021/05/13,台北市,2
2021/05/14,台北市,6
2021/05/15,台北市,86
2021/05/16,台北市,93
2021/05/17,台北市,158
2021/05/18,台北市,103
2021/05/19,台北市,70
2021/05/20,台北市,81
2021/05/21,台北市,125
2021/05/22,台北市,264
2021/05/23,台北市,164
2021/05/24,台北市,245
2021/05/25,台北市,196
2021/05/26,台北市,310
2021/05/27,台北市,223
2021/05/28,台北市,211
2021/05/29,台北市,169
2021/05/30,台北市,82
2021/05/31,台北市,121
2021/06/01,台北市,89
2021/06/02,台北市,146
2021/06/03,台北市,221
2021/06/04,台北市,145
2021/06/05,台北市,139
2021/06/06,台北市,65
2021/06/07,台北市,59
2021/06/08,台北市,54
2021/06/09,台北市,60
2021/06/10,台北市,57
2021/06/11,台北市,47
2021/06/12,台北市,67
2021/06/13,台北市,63
2021/06/14,台北市,40
2021/06/15,台北市,27
2021/06/16,台北市,51
2021/06/17,台北市,37
2021/06/18,台北市,71
2021/06/19,台北市,29
2021/06/20,台北市,32
2021/06/21,台北市,21
2021/06/22,台北市,24
2021/06/23,台北市,22
2021/06/24,台北市,35
2021/06/25,台北市,19
2021/06/26,台北市,30
2021/06/27,台北市,33
2021/06/28,台北市,22
2021/06/29,台北市,20
2021/06/30,台北市,20
2021/07/01,台北市,18
2021/07/02,台北市,29
2021/07/03,台北市,48
2021/07/04,台北市,17
2021/07/05,台北市,14
2021/07/06,台北市,13
2021/07/07,台北市,14
2021/07/08,台北市,12
2021/07/09,台北市,19
2021/07/10,台北市,12
2021/07/11,台北市,11
2021/07/12,台北市,9
2021/07/13,台北市,7
2021/07/14,台北市,9
2021/07/15,台北市,9
2021/07/16,台北市,13
2021/07/17,台北市,1
2021/07/18,台北市,5
2021/07/19,台北市,1
2021/07/20,台北市,7
2021/07/21,台北市,20
2021/07/22,台北市,4
2021/07/23,台北市,7
2021/07/24,台北市,7
2021/07/25,台北市,4
2021/07/26,台北市,4
2021/07/27,台北市,6
2021/07/28,台北市,6
2021/07/29,台北市,7
2021/07/30,台北市,4
2021/07/31,台北市,4
2021/08/01,台北市,2
2021/08/02,台北市,4
2021/08/03,台北市,5
2021/08/04,台北市,1
2021/08/05,台北市,3
2021/08/06,台北市,1
2021/08/07,台北市,2
2021/08/08,台北市,2
2021/08/10,台北市,4
2021/08/11,台北市,3
2021/08/12,台北市,2
2021/08/13,台北市,1
2021/08/14,台北市,1
2021/08/15,台北市,1
2021/08/16,台北市,2
2021/08/17,台北市,4
2021/08/19,台北市,2
2021/08/21,台北市,3
2021/08/25,台北市,1
2021/08/28,台北市,1
2021/08/30,台北市,1
2021/08/31,台北市,1
2021/09/01,台北市,1
2021/09/06,台北市,1
2021/09/08,台北市,2
2021/09/09,台北市,1
2021/09/11,台北市,1
2021/09/16,台北市,2
2021/09/18,台北市,1
2021/09/19,台北市,1
2021/09/27,台北市,1
2021/10/08,台北市,1
2021/10/24,台北市,1
2021/11/03,台北市,1
2021/12/15,台北市,1
2021/12/30,台北市,2
2022/01/02,台北市,1
2022/01/05,台北市,1
2022/01/08,台北市,1
2022/01/10,台北市,1
2022/01/11,台北市,1
2022/01/14,台北市,1
