個案研判日,縣市,確定病例數
2021/05/17,苗栗縣,1
2021/05/22,苗栗縣,1
2021/05/24,苗栗縣,2
2021/05/25,苗栗縣,2
2021/05/26,苗栗縣,1
2021/05/27,苗栗縣,1
2021/05/29,苗栗縣,3
2021/05/30,苗栗縣,9
2021/05/31,苗栗縣,3
2021/06/01,苗栗縣,2
2021/06/02,苗栗縣,12
2021/06/03,苗栗縣,33
2021/06/04,苗栗縣,40
2021/06/05,苗栗縣,66
2021/06/06,苗栗縣,71
2021/06/07,苗栗縣,35
2021/06/08,苗栗縣,16
2021/06/09,苗栗縣,12
2021/06/10,苗栗縣,43
2021/06/11,苗栗縣,57
2021/06/12,苗栗縣,11
2021/06/14,苗栗縣,7
2021/06/15,苗栗縣,18
2021/06/16,苗栗縣,21
2021/06/17,苗栗縣,31
2021/06/18,苗栗縣,25
2021/06/20,苗栗縣,3
2021/06/21,苗栗縣,3
2021/06/22,苗栗縣,1
2021/06/23,苗栗縣,4
2021/06/24,苗栗縣,5
2021/06/25,苗栗縣,3
2021/06/26,苗栗縣,1
2021/06/30,苗栗縣,2
2021/07/05,苗栗縣,2
2021/07/13,苗栗縣,1
2021/07/23,苗栗縣,1
2022/02/07,苗栗縣,1
2022/02/08,苗栗縣,1
2022/02/11,苗栗縣,1
2022/02/12,苗栗縣,4
2022/02/13,苗栗縣,2
2022/02/16,苗栗縣,2
2022/02/19,苗栗縣,3
2022/04/05,苗栗縣,1
2022/04/07,苗栗縣,3
2022/04/08,苗栗縣,3
2022/04/10,苗栗縣,4
2022/04/11,苗栗縣,2
2022/04/12,苗栗縣,3
2022/04/13,苗栗縣,3
2022/04/14,苗栗縣,7
2022/04/15,苗栗縣,17
2022/04/16,苗栗縣,5
2022/04/17,苗栗縣,6
2022/04/18,苗栗縣,11
2022/04/19,苗栗縣,12
2022/04/20,苗栗縣,16
2022/04/21,苗栗縣,27
2022/04/22,苗栗縣,30
2022/04/23,苗栗縣,20
2022/04/24,苗栗縣,27
2022/04/25,苗栗縣,34
2022/04/26,苗栗縣,54
2022/04/27,苗栗縣,59
2022/04/28,苗栗縣,58
2022/04/29,苗栗縣,82
2022/04/30,苗栗縣,78
2022/05/01,苗栗縣,92
2022/05/02,苗栗縣,142
2022/05/03,苗栗縣,197
2022/05/04,苗栗縣,183
2022/05/05,苗栗縣,260
2022/05/06,苗栗縣,324
2022/05/07,苗栗縣,352
2022/05/08,苗栗縣,322
2022/05/09,苗栗縣,323
2022/05/10,苗栗縣,751
2022/05/11,苗栗縣,732
2022/05/12,苗栗縣,717
2022/05/13,苗栗縣,624
2022/05/14,苗栗縣,837
2022/05/15,苗栗縣,979
2022/05/16,苗栗縣,1099
2022/05/17,苗栗縣,1069
2022/05/18,苗栗縣,1461
2022/05/19,苗栗縣,1265
2022/05/20,苗栗縣,1584
2022/05/21,苗栗縣,1646
2022/05/22,苗栗縣,1146
2022/05/23,苗栗縣,1598
2022/05/24,苗栗縣,1817
2022/05/25,苗栗縣,1702
2022/05/26,苗栗縣,2209
2022/05/27,苗栗縣,1973
2022/05/28,苗栗縣,1650
2022/05/29,苗栗縣,1622
2022/05/30,苗栗縣,1901
2022/05/31,苗栗縣,1960
2022/06/01,苗栗縣,1544
2022/06/02,苗栗縣,1823
2022/06/03,苗栗縣,1710
2022/06/04,苗栗縣,1497
2022/06/05,苗栗縣,1353
2022/06/06,苗栗縣,1973
2022/06/07,苗栗縣,1675
2022/06/08,苗栗縣,1704
2022/06/09,苗栗縣,1465
2022/06/10,苗栗縣,1090
2022/06/11,苗栗縣,1846
2022/06/12,苗栗縣,1105
2022/06/13,苗栗縣,1617
2022/06/14,苗栗縣,1640
2022/06/15,苗栗縣,1529
2022/06/16,苗栗縣,1282
2022/06/17,苗栗縣,1264
2022/06/18,苗栗縣,1066
2022/06/19,苗栗縣,905
2022/06/20,苗栗縣,1374
2022/06/21,苗栗縣,1147
2022/06/22,苗栗縣,1098
2022/06/23,苗栗縣,1008
2022/06/24,苗栗縣,970
2022/06/25,苗栗縣,879
2022/06/26,苗栗縣,778
2022/06/27,苗栗縣,1125
2022/06/28,苗栗縣,982
2022/06/29,苗栗縣,900
2022/06/30,苗栗縣,842
2022/07/01,苗栗縣,893
2022/07/02,苗栗縣,754
2022/07/03,苗栗縣,611
2022/07/04,苗栗縣,963
2022/07/05,苗栗縣,854
2022/07/06,苗栗縣,788
2022/07/07,苗栗縣,807
2022/07/08,苗栗縣,689
2022/07/09,苗栗縣,698
2022/07/10,苗栗縣,452
2022/07/11,苗栗縣,909
2022/07/12,苗栗縣,796
2022/07/13,苗栗縣,669
2022/07/14,苗栗縣,674
2022/07/15,苗栗縣,695
2022/07/16,苗栗縣,654
2022/07/17,苗栗縣,478
2022/07/18,苗栗縣,663
2022/07/19,苗栗縣,746
2022/07/20,苗栗縣,626
2022/07/21,苗栗縣,631
2022/07/22,苗栗縣,571
2022/07/23,苗栗縣,542
2022/07/24,苗栗縣,472
2022/07/25,苗栗縣,722
2022/07/26,苗栗縣,730
2022/07/27,苗栗縣,704
2022/07/28,苗栗縣,619
2022/07/29,苗栗縣,598
2022/07/30,苗栗縣,540
2022/07/31,苗栗縣,539
2022/08/01,苗栗縣,711
2022/08/02,苗栗縣,686
2022/08/03,苗栗縣,589
2022/08/04,苗栗縣,598
2022/08/05,苗栗縣,564
2022/08/06,苗栗縣,618
2022/08/07,苗栗縣,438
2022/08/08,苗栗縣,721
2022/08/09,苗栗縣,742
2022/08/10,苗栗縣,679
2022/08/11,苗栗縣,729
2022/08/12,苗栗縣,621
2022/08/13,苗栗縣,538
2022/08/14,苗栗縣,527
2022/08/15,苗栗縣,784
2022/08/16,苗栗縣,648
2022/08/17,苗栗縣,643
2022/08/18,苗栗縣,607
2022/08/19,苗栗縣,561
2022/08/20,苗栗縣,637
2022/08/21,苗栗縣,493
2022/08/22,苗栗縣,759
2022/08/23,苗栗縣,737
2022/08/24,苗栗縣,702
2022/08/25,苗栗縣,755
2022/08/26,苗栗縣,647
2022/08/27,苗栗縣,662
2022/08/28,苗栗縣,517
2022/08/29,苗栗縣,875
2022/08/30,苗栗縣,877
2022/08/31,苗栗縣,919
2022/09/01,苗栗縣,879
2022/09/02,苗栗縣,800
2022/09/03,苗栗縣,793
2022/09/04,苗栗縣,598
2022/09/05,苗栗縣,922
2022/09/06,苗栗縣,1005
2022/09/07,苗栗縣,762
2022/09/08,苗栗縣,868
2022/09/09,苗栗縣,818
2022/09/10,苗栗縣,780
2022/09/11,苗栗縣,547
2022/09/12,苗栗縣,1162
2022/09/13,苗栗縣,1100
2022/09/14,苗栗縣,1066
2022/09/15,苗栗縣,996
2022/09/16,苗栗縣,871
2022/09/17,苗栗縣,853
2022/09/18,苗栗縣,710
2022/09/19,苗栗縣,1090
2022/09/20,苗栗縣,1085
2022/09/21,苗栗縣,936
2022/09/22,苗栗縣,898
2022/09/23,苗栗縣,888
2022/09/24,苗栗縣,845
2022/09/25,苗栗縣,669
2022/09/26,苗栗縣,1075
2022/09/27,苗栗縣,1155
2022/09/28,苗栗縣,1045
2022/09/29,苗栗縣,1061
2022/09/30,苗栗縣,1046
2022/10/01,苗栗縣,997
2022/10/02,苗栗縣,900
2022/10/03,苗栗縣,1274
2022/10/04,苗栗縣,1347
2022/10/05,苗栗縣,1149
